route_variant,id,lat,lon,source,distance_off_route_m,chainage_m,nearest_route_lon,nearest_route_lat
archive_reference,rasuwagadhi_gauge,28.271297,85.377649,https://dhm.gov.np/hydrology/hms-Single/4913,8.614889845740358,768.0404229735985,85.37756130839381,28.27129292703853
archive_reference,syabrubesi_gauge,28.17065,85.342554,https://dhm.gov.np/hydrology/hms-Single/191,23.211151072607386,13459.02793022425,85.34278828833159,28.170677723455814
archive_reference,galchhi_gauge,27.802328,85.00305,https://dhm.gov.np/hydrology/hms-Single/5705,53.63694312258489,79533.45595522104,85.00277891831027,27.802747677881907
archive_reference,kali_khola_gauge,27.833,84.546,https://dhm.gov.np/hydrology/hms-Single/4781,128.87409955470375,147473.7021516954,84.54591777952932,27.831839725507745
archive_reference,devghat_2023_candidate,27.725483333333333,84.42761944444445,https://dhm.gov.np/uploads/dhm/downloads/Updated_Published_Station_List_2023.pdf,1807.2421183380177,176423.2269948705,84.43115,27.741480000000003
archive_reference,devghat_2022_candidate,27.708333333333332,84.43055555555556,https://www.dhm.gov.np/uploads/dhm/downloads/Published_List_2022.pdf,3666.8124750650454,176301.29557192474,84.43238,27.741369999999996
archive_reference,devghat_live_rounded,27.71,84.43,https://dhm.gov.np/hydrology/hms-Single/265,3485.546110864017,176301.29557192474,84.43238,27.741369999999996
mapped_candidate,rasuwagadhi_gauge,28.271297,85.377649,https://dhm.gov.np/hydrology/hms-Single/4913,4.356496787821285,778.8314210029848,85.37760459673193,28.271297443352214
mapped_candidate,syabrubesi_gauge,28.17065,85.342554,https://dhm.gov.np/hydrology/hms-Single/191,21.294285493017778,13532.539920817233,85.3427620690674,28.170704122661935
mapped_candidate,galchhi_gauge,27.802328,85.00305,https://dhm.gov.np/hydrology/hms-Single/5705,51.08169953329663,79912.93339676198,85.00277882223475,27.802720813067907
mapped_candidate,kali_khola_gauge,27.833,84.546,https://dhm.gov.np/hydrology/hms-Single/4781,131.56086686722136,148221.17092601053,84.54604553203202,27.831813878593344
mapped_candidate,devghat_2023_candidate,27.725483333333333,84.42761944444445,https://dhm.gov.np/uploads/dhm/downloads/Updated_Published_Station_List_2023.pdf,73.26940023301087,180069.48978460336,84.42690572658793,27.72530041851059
mapped_candidate,devghat_2022_candidate,27.708333333333332,84.43055555555556,https://www.dhm.gov.np/uploads/dhm/downloads/Published_List_2022.pdf,95.31761550978818,181973.36429677164,84.4314601,27.70863529999999
mapped_candidate,devghat_live_rounded,27.71,84.43,https://dhm.gov.np/hydrology/hms-Single/265,119.71838002014366,181802.16730612415,84.43119966584948,27.710162094307044
